Gamma,Formation Date,SPY,QQQ,IWM,EFA,EEM,IEF,TLT,LQD,HYG,GLD,DBC,VNQ
1,2011-11-01,3.855605783926662e-09,5.633866946333418e-08,6.310630532489047e-09,3.5341868717553712e-09,2.8351647425708325e-08,1.3177215683427236e-09,1.1486280853988535e-09,2.1762625008155302e-09,7.320617378921603e-09,0.9079228190752401,2.429990982850307e-09,0.09207706814079931
1,2011-12-01,3.613167791357912e-10,4.2870609233656035e-08,5.404576387389593e-10,3.361346508746463e-10,2.1512565794138825e-09,2.2329889511446898e-10,1.6867533154673568e-10,2.6841369630851874e-10,1.3506304485288546e-09,0.7218915130801793,2.683692005260725e-10,0.27810843838065813
1,2012-01-03,7.84481958344236e-10,0.18930377048356858,1.1533312065116253e-09,6.734572087677115e-10,1.1640198386368717e-09,5.984241457766342e-10,7.234075798518046e-10,7.935488473045704e-10,2.9874832139146018e-09,0.5305280220148375,5.282966667104579e-10,0.2801681980951434
1,2012-02-01,2.5724334804496784e-10,0.26343298985673785,6.056267981214018e-10,1.7658981981543688e-10,3.0020003098412273e-09,1.5261333246902685e-10,3.609625724277075e-10,1.7510718972357014e-10,3.103802263694242e-10,0.3431269733581881,1.554750222209615e-10,0.3934400315890755
1,2012-03-01,5.088176518041276e-11,0.4331793641683954,5.4805213955428903e-11,2.942385595084621e-11,1.0285416458352571e-10,5.174082087276492e-11,1.155492451939441e-10,6.142960147749688e-11,7.835175305239573e-11,7.652177503703e-08,4.204871845987356e-11,0.5668205587227444
1,2012-04-02,1.1833090791834737e-10,8.341010060462451e-08,1.013415629345258e-10,5.5754810245075565e-11,5.621709037073833e-11,1.4844042513931406e-10,2.6995724429480666e-10,2.233983460975022e-10,3.0290125723052356e-10,0.06027856939159132,8.950917029067774e-11,0.9397213458324573
1,2012-05-01,1.1134676860906818e-10,6.582303423474502e-09,9.125064905212622e-11,7.172946442254023e-11,5.715364908523728e-11,1.06436334850785e-10,2.915403670612987e-10,1.2388812251134156e-10,1.1747476165705059e-10,0.30219420092879845,7.415182722358565e-11,0.6978057914439262
1,2012-06-01,4.859195068708084e-09,5.082815163187378e-08,4.399947763340661e-09,4.237166635988872e-09,3.831094102013411e-09,8.468572966131953e-09,0.20890101847686784,8.900337014915339e-09,6.963006154965024e-09,8.981172583733779e-08,4.548565176790774e-09,0.7910987946753698
1,2012-07-02,3.648517857720387e-11,2.2942087030199353e-10,1.9927081678245568e-11,3.847414475868306e-11,3.257605268597623e-11,1.1349323595324473e-10,0.09724008202360959,9.429758773943329e-11,6.606146015857672e-11,2.6403079493020997e-08,4.7119705110433903e-11,0.9027598908954556
1,2012-08-01,7.356772805768113e-11,2.8141238730466455e-10,4.338575765934046e-11,8.197014185224841e-11,7.476395403164473e-11,2.065493206549804e-10,0.1827311588676169,1.6559333782551015e-10,1.1194463813948804e-10,7.741957530492882e-08,9.112383134004101e-11,0.8172687625824967
1,2012-09-04,2.910844475975e-10,3.852462159570335e-09,2.420543531030252e-10,2.0947385625675855e-10,2.0487751697388819e-10,5.099818624253223e-10,0.05511211999224485,4.2553178374403793e-10,4.0647039656881255e-10,0.22655156192749665,2.5158230572551505e-10,0.7183363116867398
1,2012-10-01,2.6353614202166723e-10,1.0614929361668017e-08,2.413598644970967e-10,1.3286478498397145e-10,1.357062800788785e-10,2.633857769995014e-10,3.052267943780846e-09,2.4875131064033125e-10,2.2340587599864087e-10,0.5783768087422728,1.5485718439724103e-10,0.42162317592666265
1,2012-11-01,1.3315556912357386e-10,8.820185748998352e-10,1.576574569544456e-10,7.529751809884439e-11,7.528850089443441e-11,1.7937194295683905e-10,0.08294086011855809,1.8759313004748116e-10,1.4188906206966968e-10,0.2983161853002124,7.977601180255437e-11,0.6187429526691817
1,2012-12-03,1.2879946320128736e-10,3.0366295420231577e-09,2.4923005653128896e-10,7.10541790473663e-11,7.229178537657954e-11,1.0880142716433994e-10,0.3942758980720347,1.1443185205492408e-10,1.324652207106777e-10,7.27902300715972e-10,7.833711774423003e-11,0.6057240972080223
1,2013-01-02,1.8723287300171674e-10,6.163018949469235e-10,3.0736253757902893e-10,1.2466390657274374e-10,1.2769888551694599e-10,1.6526990868685168e-10,0.4233214555337248,1.6118942547933057e-10,1.6144407372578895e-10,0.020891868508567554,1.323837209632059e-10,0.5557866739741603
1,2013-02-01,8.385724771575863e-10,5.478398461523512e-09,1.2733823076964244e-09,4.822509952665996e-10,4.866632978914491e-10,7.653443722922998e-10,0.20014292570489464,6.973709715719814e-10,6.566487341846835e-10,0.051299823811893915,5.708691435241501e-10,0.7485572392337108
1,2013-03-01,4.61249268134362e-09,2.2337295435631687e-08,7.236581648238826e-09,2.0477903834239525e-09,2.064977060023912e-09,2.747937948325321e-09,0.30402602432617126,2.6399419695085854e-09,2.751623492948786e-09,1.9006297937590765e-08,2.1368167558886693e-09,0.6959739080920734
1,2013-04-01,1.9606153607307644e-08,6.4907302951793e-08,3.597160066169252e-08,6.676428682357793e-09,6.178181600252758e-09,9.022116383343842e-09,0.416337279787497,8.124259779969496e-09,9.43048959075608e-09,1.2023515544561323e-07,6.8778142053312245e-09,0.583662433183
1,2013-05-01,6.867036736755558e-09,3.125123182753871e-08,4.234204734646717e-09,2.080696740204386e-09,1.5408996876988075e-09,1.9268870127379375e-09,0.432693745278843,1.8210006325287202e-09,2.4104747337906065e-09,1.9732833569414506e-09,1.4303879364440616e-09,0.5673061991850537
1,2013-06-03,8.391784858058329e-08,0.7249702669157935,3.5263767181415094e-08,6.862656947309517e-09,3.6130578488862237e-09,8.870367155352767e-09,0.1403526422461552,9.449705028844766e-09,1.0992666430235049e-08,5.216434139735657e-09,4.931354740900072e-09,0.1346769217201932
1,2013-07-01,2.9193970370749133e-09,0.992541884116982,2.0931621362917794e-09,2.080919135967495e-10,1.2718450234141564e-10,2.167863442130839e-10,8.274918092003123e-10,2.1607764365296434e-10,2.541237238297485e-10,1.375526601593363e-10,1.6288038192690294e-10,0.0074581087202698565
1,2013-08-01,3.6643478793734625e-09,0.9999999736493554,1.832980515387523e-08,2.774866537063839e-10,1.6689287588438867e-10,3.139922949172398e-10,1.0067915262594061e-09,3.198577970536472e-10,3.6535607555594955e-10,2.8105251842666084e-10,2.3681170070890103e-10,1.3882501534539407e-09
1,2013-09-03,3.788688252305513e-08,0.9999996649608041,2.409185722400551e-07,5.511069782968541e-09,3.0488410066056914e-09,5.387763846064082e-09,8.351473994609853e-09,5.711450032788096e-09,7.202459881235296e-09,5.5801300347129134e-09,5.350297949569566e-09,1.009025462082397e-08
1,2013-10-01,1.1990151509839673e-08,0.9298368444569616,0.0701631265074063,1.7331081264748484e-09,9.897883547671451e-10,1.5930558416682138e-09,2.399993371897568e-09,1.6136392151824758e-09,1.929604004222995e-09,1.2730862862983628e-09,1.2572644388749384e-09,4.2559410118147534e-09
1,2013-11-01,1.6518941544772067e-08,0.9947160303934407,0.005283940151148074,8.44299697529521e-10,4.857474794704998e-10,9.134681522836758e-10,5.2806993557203456e-09,9.587290429944483e-10,1.0605926736340287e-09,6.102217384647273e-10,5.793421300927487e-10,2.2033692689918615e-09
1,2013-12-02,1.8343957413152069e-09,0.9999999945716366,1.2603746209250137e-09,1.390605209831078e-10,5.7335749092098904e-11,1.6862943115015185e-10,1.24460950516064e-09,1.799862902595779e-10,1.8293140358302675e-10,7.203668534193683e-11,7.304998784813482e-11,2.1595334410363553e-10
1,2014-01-02,5.274513171499351e-10,0.9999999973354554,2.939013634735038e-10,8.740454896755273e-11,3.6867350828465004e-11,1.3914540706401687e-10,1.082463921492115e-09,1.5399383184170365e-10,1.29943855470232e-10,4.627590562507696e-11,4.643216247015177e-11,1.2066504092065715e-10
1,2014-02-03,1.8717831883398558e-08,0.8255732572358399,3.1150813385093116e-08,2.8453755372987147e-09,7.085146090646739e-10,6.5932803580611546e-09,0.17442665875805738,7.306110388521367e-09,5.647379382844658e-09,1.8038864631140058e-09,8.598593100458346e-10,8.373051522784875e-09
1,2014-03-03,8.186670218912346e-10,0.9234823563210226,6.428856103226644e-10,2.1502165801743747e-10,1.1644107973167077e-10,4.5948463599139475e-10,0.07651763984807265,4.700090726549717e-10,3.4495291846961553e-10,1.7117796990075223e-10,1.2271920088354157e-10,4.695454740715912e-10
1,2014-04-01,4.428499263615994e-08,0.8739797542775188,1.7858263527602643e-08,6.57363767681927e-09,2.135062216022848e-09,1.1993625854113108e-08,0.12602011779642805,1.3762244660789518e-08,1.0364138785699454e-08,3.440189929795089e-09,2.2778073385241056e-09,1.523609040291308e-08
1,2014-05-01,4.626476270835411e-08,0.8100028117635009,8.26703031593236e-09,3.144255119915925e-09,6.26992083141323e-10,5.323104929172267e-09,0.18999710201273473,6.456389429714744e-09,5.474360868147219e-09,7.986497546431071e-10,5.403492617444542e-10,9.327870019381116e-09
1,2014-06-02,3.173667214830782e-09,0.9991057813276151,1.062467327864725e-09,6.465197080631922e-10,3.6858014101821925e-10,1.1053145113974739e-09,0.000894208083820375,1.2530916160475398e-09,9.82838179367706e-10,4.0555912978546233e-10,3.791720689462257e-10,1.211354667529786e-09
1,2014-07-01,9.660027532354152e-10,0.999997956500098,4.423391735030769e-10,2.3047518520728306e-10,1.4090566067998967e-10,3.914047319624205e-10,2.03978012727839e-06,4.424870314338453e-10,3.447142023118694e-10,1.7737470583146153e-10,1.5418201033919352e-10,4.298892281067329e-10
1,2014-08-01,2.7089777534921717e-09,0.9999999598640554,9.132439139486578e-10,5.217130052869207e-10,3.1749791081851e-10,7.726228117514126e-10,3.1768647017134366e-08,8.895326319640676e-10,7.01877086373051e-10,3.128618362902102e-10,2.87881264758186e-10,9.410893601562233e-10
1,2014-09-02,2.2629226949448336e-08,0.9999999426621795,1.5376938518082034e-08,2.9487381782647426e-09,9.674681770273767e-10,1.265420172782954e-09,3.043619325610472e-09,2.0269472025365637e-09,2.437506854026878e-09,0.0,4.2204811696922845e-11,6.5997502051479024e-09
1,2014-10-01,4.8963746435009274e-08,0.9999999081846701,1.9568681866449506e-08,4.404014980218354e-09,1.910281479823824e-09,1.264195807437464e-09,1.6808181823854598e-09,1.9863178169417826e-09,3.0952272880220275e-09,0.0,3.7749393569156043e-10,8.564552270863594e-09
1,2014-11-03,2.6023561582312487e-08,0.9999999365394444,1.4678922282803182e-08,3.499187297280398e-09,9.314501796555859e-10,1.3632709241486492e-09,2.143642327685509e-09,1.910176395696247e-09,2.556893101762534e-09,0.0,0.0,1.0353451314652414e-08
1,2014-12-01,1.0073625224825097e-08,0.9999999699503597,5.807944627929334e-09,1.825999922635552e-09,5.03429459967617e-10,7.330080755119203e-10,1.2472550568920773e-09,1.2762443776933397e-09,1.3657885973030689e-09,0.0,0.0,7.216345060413281e-09
1,2015-01-02,1.0782315224872485e-08,0.9999999668877685,9.068826386375539e-09,1.888121721920017e-09,5.298524325400495e-10,6.777769432721287e-10,1.3362714341583833e-09,1.1513451490876515e-09,1.114021983314753e-09,0.0,0.0,6.563700136357224e-09
1,2015-02-02,4.878884900120424e-10,0.9999999966874719,2.248017625275347e-10,9.776337286370894e-11,4.0377562180124564e-11,8.030305732364253e-11,2.357165944049405e-10,1.0087733285747399e-10,8.679254442327601e-11,2.421316696369507e-11,1.122639573827087e-11,1.922567835710787e-09
1,2015-03-02,4.3093807567768676e-08,0.9999998544856656,2.3640537883678747e-08,6.319232205099133e-09,1.7046029247029747e-09,4.041257620136227e-09,9.699518378567847e-09,5.041415287765381e-09,4.9026219314583185e-09,2.7952281247267647e-10,0.0,4.679181752537418e-08
1,2015-04-01,4.807593946275504e-09,0.9999999739849325,1.2337987800921865e-08,3.409295870151794e-10,1.5312716685185037e-10,2.683328845765969e-10,1.1366463398553687e-09,3.170265241120465e-10,2.899777800680094e-10,9.479594990226056e-11,6.421671310580347e-11,6.204432754950822e-09
1,2015-05-01,3.90983519258844e-08,0.9999999030405032,2.7170798490117686e-08,6.59504686509313e-09,1.6016006969005742e-09,2.3513580361957174e-09,5.238813082263121e-09,3.169158205582761e-09,3.3097248250663567e-09,0.0,0.0,8.42464463910954e-09
1,2015-06-01,1.7848308080248495e-08,0.999999940059403,2.3121901422593183e-08,7.1385689331241384e-09,1.227896448603833e-09,8.990018048209916e-10,1.2405189154351288e-09,1.3979963108944815e-09,2.0795562295490465e-09,0.0,0.0,4.986849058017844e-09
1,2015-07-01,1.704670539282501e-08,0.9999999228141931,4.3895985885602616e-08,5.1284423921375714e-09,1.1550501346009711e-09,1.2502506828839849e-09,1.4905059027531964e-09,1.6561153318352e-09,1.95644554917789e-09,0.0,0.0,3.60630557788302e-09
1,2015-08-03,1.1867136815041165e-08,0.999999948393381,2.5720395458442903e-08,4.963719000174811e-09,6.0491282502827e-10,9.885069439502529e-10,1.2210022798259406e-09,1.1387744574054862e-09,1.4440346449685853e-09,0.0,0.0,3.6581365954188236e-09
1,2015-09-01,2.8622043522554134e-08,0.999999897288148,4.6376229153416084e-08,6.5620384156540855e-09,9.463614969029831e-10,2.898581027219276e-09,3.724212707093115e-09,3.0947773548040044e-09,3.4244432086274735e-09,0.0,0.0,7.063165108766318e-09
1,2015-10-01,2.04934213232978e-08,0.9999999143754803,1.506983692340305e-08,5.904676744969332e-09,1.0830351674107526e-09,5.152046937153084e-09,8.76036897522414e-09,4.913509678159498e-09,4.239427461293282e-09,8.571079616816963e-11,0.0,1.992248583959172e-08
1,2015-11-02,4.210956720706741e-09,0.9999999863377911,2.765127117713587e-09,9.36320486069627e-10,9.313600029594552e-11,6.245417306387145e-10,1.016932038447216e-09,5.891763830964641e-10,5.954062879570921e-10,0.0,0.0,2.8306122452489143e-09
1,2015-12-01,5.537930958404963e-09,0.999999981082924,4.903398294724666e-09,1.1852262494861898e-09,9.558960444985735e-11,8.022865511134473e-10,1.1729990761381142e-09,8.395579142764903e-10,7.20660906493957e-10,0.0,0.0,3.659426617667758e-09
1,2016-01-04,4.397937207203822e-09,0.9999999843488792,2.320202312433864e-09,8.30294245578476e-10,5.3057038446386303e-11,1.0084619464853768e-09,1.9220929572730017e-09,9.400250373847075e-10,6.555112621005028e-10,0.0,0.0,3.5235387889788912e-09
1,2016-02-01,9.699501350683385e-09,0.9999999356814827,4.3050209177426366e-09,2.5480156844606007e-09,1.2094972385645762e-09,6.050947884062909e-09,2.120613675918327e-08,4.808181529989981e-09,3.0126804786710815e-09,1.3799749907949574e-09,3.55660101295924e-10,9.742900489474115e-09
1,2016-03-01,1.5775751717747918e-08,0.9999998588273759,6.9236634297603395e-09,4.314627925386191e-09,2.649517392238341e-09,1.1363927293539026e-08,6.535270731862534e-08,8.69973386368525e-09,5.512582557999875e-09,3.908014429962466e-09,1.411111268530586e-09,1.5260986764941352e-08
1,2016-04-01,9.759524743916695e-09,0.999999926301128,4.229704820333422e-09,2.656109840040006e-09,1.7198744322425785e-09,5.4931448957801e-09,2.421003270526338e-08,5.280026789755079e-09,3.074393657937725e-09,2.0069926996438644e-09,6.29766173918864e-10,1.4639301303510223e-08
1,2016-05-02,7.794628964181983e-09,0.9999999647188201,3.5062562580599117e-09,1.2390178163026869e-09,7.327875353712203e-10,2.8123205346054308e-09,8.420026061696926e-09,2.8721750234222973e-09,1.6419761675741684e-09,1.314814848838987e-09,1.5468993130340267e-10,4.792486736646365e-09
1,2016-06-01,4.3762595732279005e-10,0.9999999939531046,2.062723930472309e-10,1.305687280182721e-10,9.228748252889137e-11,2.827953567403297e-10,3.3679729050227854e-09,2.841181078917934e-10,1.649506586687996e-10,1.3052085730518452e-10,5.7439181661087175e-11,8.923439713986465e-10
1,2016-07-01,7.741451799104551e-10,0.8551271997012398,3.528466689488555e-10,2.2687519256631456e-10,1.904276213738456e-10,4.718898127272445e-10,0.144872772938121,5.116000749825977e-10,2.80055971146833e-10,3.523682496779757e-10,1.1177665940485133e-10,2.4088653732211914e-08
1,2016-08-01,7.175381060123061e-09,0.752456038409012,3.7487711486269265e-09,2.5231755706530954e-09,2.321165496867997e-09,4.546837430494469e-09,0.24754220691403836,4.8081937862668965e-09,2.8937818417180763e-09,2.9977247634710417e-09,1.2835463720447263e-09,1.7223783721336037e-06
1,2016-09-01,1.1528371468106771e-08,0.6582604877492357,5.824239008098443e-09,2.9993005405381704e-09,2.6469042131326574e-09,7.237571594870914e-09,0.14281927588013713,8.085750162826092e-09,4.1296008822211306e-09,3.1486611283233045e-09,8.965803463312994e-10,0.1989201898736479
1,2016-10-03,2.6056618560950806e-10,0.7427856873136766,1.232748372480834e-10,7.235365767910061e-11,6.671480607234271e-11,1.449065719295288e-10,0.25721430390199196,1.6542450775053458e-10,1.0190776278314568e-10,8.784256547229594e-11,3.3961507364424425e-11,7.727379030955926e-09
1,2016-11-01,7.553911020081966e-09,0.7666677382884375,3.057105433151896e-09,1.7316211099516513e-09,1.6374254140207382e-09,5.5169771150771385e-09,0.23333218510629158,6.167971415144988e-09,3.0237903070490235e-09,2.494962138977453e-09,5.458712908652614e-10,4.487563569462182e-08
1,2016-12-01,2.706279263513036e-09,0.6622504465452108,1.5563936351432592e-09,6.909999547289677e-10,6.420616512706101e-10,2.0856910511188106e-09,0.052379891701039204,2.3528441622050963e-09,1.2450444177343932e-09,1.014675033457476e-09,4.289071508766808e-10,0.28536964903085366
1,2017-01-03,1.7774740797005284e-09,0.25613253760572885,1.0089763618307534e-09,3.784483910686612e-10,3.5804140841729274e-10,9.594187060268512e-10,5.2967452868599987e-08,9.983862673677277e-10,6.404288211034423e-10,4.691738882328979e-10,2.3063344441241815e-10,0.743867402605837
1,2017-02-01,1.0437109516826537e-09,0.9999998013038078,5.11039749370902e-10,2.446382652536489e-10,2.5348743866619964e-10,4.844284331764494e-10,5.40582374129051e-09,5.104873623970507e-10,3.5529509746511395e-10,3.240709941981556e-10,1.3454310326265318e-10,1.894286669897818e-07
1,2017-03-01,1.5262493012134613e-08,0.999999244230591,6.690057956587796e-09,3.3713058682027467e-09,3.6957494769088554e-09,7.784937199576477e-09,1.9420544952498213e-07,8.126037248812575e-09,5.291977532708334e-09,4.523777341433817e-09,1.9153689459810605e-09,5.049022549404868e-07
1,2017-04-03,3.2585629952708514e-10,0.9999999949883163,1.6057255662034335e-10,9.634823625746164e-11,9.613715462321978e-11,2.436085304437491e-10,2.554946243129724e-09,2.317940276463736e-10,1.4363648032394274e-10,1.422306957955344e-10,5.404864871160786e-11,9.625048089194888e-10
1,2017-05-01,2.561934852024194e-09,0.9999999770504889,1.8346276664744676e-09,7.121287344741279e-10,7.01381083837631e-10,1.7974249258917035e-09,7.379073105222498e-09,1.6829977568480554e-09,1.078772053756372e-09,1.210344528752399e-09,3.2039677420123636e-10,3.6704294994863655e-09
1,2017-06-01,1.5245425610471439e-09,0.9999999865394568,8.500641122223116e-10,4.302952136693638e-10,4.124463419379744e-10,1.0861426000346201e-09,4.624450543615272e-09,1.0559175830104727e-09,6.38948973808252e-10,8.785389863234857e-10,2.668113026876388e-10,1.6923848214911348e-09
1,2017-07-03,8.483983217652979e-10,0.9999999793522344,5.314780035823635e-10,2.854518479135367e-10,2.7288323649532963e-10,7.336376886721734e-10,1.4778291547455481e-08,7.773585901570291e-10,4.282483273692453e-10,3.9087953965900334e-10,1.5354687325044925e-10,1.4475916436945665e-09
1,2017-08-01,5.834071015776565e-09,0.9999999577662378,4.782020293325704e-09,1.4549530544449063e-09,1.350221027427609e-09,2.923995382444257e-09,1.1333369134776582e-08,3.1669158982759736e-09,2.1670871373291135e-09,2.0260212855162606e-09,5.192307664946542e-10,6.675877149173245e-09
1,2017-09-01,4.294958066286827e-09,0.9999999597427853,2.5225447111110396e-09,1.2536447022971131e-09,1.188524361871247e-09,3.0075484684147473e-09,1.4666036604472445e-08,3.0319156339025606e-09,1.8188762788348187e-09,2.4668974610831695e-09,8.209128621561796e-10,5.1853556208967725e-09
1,2017-10-02,1.426234218974867e-08,0.9999998669635887,5.9454176623179736e-08,4.4871018949127624e-09,4.422677245400568e-09,4.871884197075888e-09,9.691678528167138e-09,5.655802836912864e-09,4.676826193586043e-09,4.8986550103327256e-09,1.333968685090238e-09,1.9281297905107364e-08
1,2017-11-01,1.0102581278363395e-09,0.9999999953621559,9.013811233401085e-10,1.5712909510216542e-10,1.3270494790016135e-10,2.8890938430760913e-10,7.672408742865316e-10,3.349184963842165e-10,2.175564258085108e-10,3.857670415878196e-10,1.1251990060695816e-10,3.294588463808583e-10
1,2017-12-01,3.987968830926358e-09,0.9999999793535559,7.658832080444896e-09,8.730293062588436e-10,8.04854950295321e-10,8.528383855502735e-10,1.6114911775148993e-09,1.0392522281085296e-09,8.834791175931886e-10,1.2469416651442534e-09,3.65122830828419e-10,1.32263354185197e-09
1,2018-01-02,4.6462427491370166e-10,0.9999999989535875,1.8511992844690052e-10,9.872548478571755e-12,3.304891337160991e-11,5.436041224743145e-11,5.246502617849188e-11,3.2558608093163226e-11,2.2330825636704114e-11,6.072255292679793e-11,9.858216115284712e-11,3.272732791259974e-11
1,2018-02-01,1.1462191854762358e-09,0.9999999971741281,5.082883635023234e-10,2.1237149150755655e-10,4.593768799979235e-10,6.195805406998687e-11,6.02231310283042e-11,7.200735967786222e-11,8.668490355486767e-11,7.752362710207417e-11,7.344377277582425e-11,6.777501147242334e-11
1,2018-03-01,2.1796185038347284e-08,0.9999999661273729,2.3974442695402387e-09,0.0,4.1097776122451337e-10,1.2973385799655403e-09,8.802438876884693e-10,1.8975779128265123e-10,0.0,1.8255271215862822e-09,3.2254128931984855e-09,1.8497397484230273e-09
1,2018-04-02,1.578505610197452e-08,0.9999999741368387,0.0,0.0,0.0,1.5303220776281387e-09,1.0488865993875977e-09,1.6171946438765244e-10,0.0,3.0620779207880278e-09,2.880453941730411e-09,1.3946453722078437e-09
1,2018-05-01,2.7370033847302863e-08,0.9999999136583938,2.395402876263722e-08,0.0,0.0,4.94618826868214e-09,4.7003673567241946e-09,3.6244557482514572e-09,1.9276857942610018e-09,1.1765868464131753e-08,5.897500348386821e-09,2.155477501646223e-09
1,2018-06-01,8.541624702094556e-09,0.9999999432424332,3.205763232120007e-08,0.0,0.0,3.0376523873884393e-09,3.0076122802603054e-09,1.7963029270748115e-09,8.441752479228901e-10,4.064327680314698e-09,3.0868093766191045e-09,3.21429732932679e-10
